"","scientificName"
"618","Ranunculus pensylvanicus"
"619","Ranunculus macounii"
"620","Corydalis bracteata"
"621","Corydalis aurea"
"622","Capnoides sempervirens"
"623","Drosera intermedia"
"624","Stellaria holostea"
"625","Stellaria ruscifolia"
"626","Silene baschkirorum"
"627","Silene samojedorum"
"628","Salicornia dolichostachya"
"629","Phedimus middendorffianus"
"630","Ribes hirtellum"
"631","Leptarrhena pyrolifolia"
"632","Micranthes ferruginea"
"633","Circaea alpina"
"634","Oxalis acetosella"
"635","Euphorbia corollata"
"636","Euphorbia esula"
"637","Viola uniflora"
"638","Viola tricolor"
"639","Salix pentandra"
"640","Salix pseudopentandra"
"641","Salix serissima"
"642","Alnus incana"
"643","Betula pendula"
"644","Astragalus americanus"
"645","Astragalus williamsii"
"646","Astragalus agrestis"
"647","Oxytropis pumilio"
"648","Oxytropis campestris  var. varians"
"649","Luetkea pectinata"
"650","Potentilla anserina"
"651","Chamaerhodos grandiflora"
"652","Fragaria virginiana"
"653","Sorbus sambucifolia"
"654","Smelowskia bifurcata"
"655","Smelowskia pyriformis"
"656","Parrya nudicaulis"
"657","Cardamine amara"
"658","Cardamine pensylvanica"
"659","Cornus sericea"
"660","Primula incana"
"661","Primula mistassinica"
"662","Androsace constancei"
"663","Prunella vulgaris"
"664","Stachys palustris"
"665","Mentha aquatica"
"666","Thymus karavaevii"
"667","Veronica alaskensis"
"668","Plantago media"
"669","Plantago lanceolata"
"670","Myosotis stricta"
"671","Campanula aurita"
"672","Lobelia kalmii"
"673","Solidago canadensis  var. lepida"
"674","Euthamia graminifolia"
"675","Eurybia radula"
"676","Symphyotrichum ericoides  var. pansum"
"677","Symphyotrichum falcatum"
"678","Symphyotrichum spathulatum"
"679","Symphyotrichum lanceolatum"
"680","Arnica chamissonis"
"681","Artemisia gmelinii"
"682","Jacobaea ambracea"
"683","Saussurea triangulata"
"684","Cirsium drummondii"
"685","Lactuca tatarica"
"686","Lonicera involucrata"
"687","Aconitum napellus"
"688","Aconitum x cammarum"
"689","Agropyron cristatum"
"690","Agrostemma githago"
"691","Agrostis vinealis"
"692","Agrostis clavata"
"693","Alchemilla baltica"
"694","Alchemilla wichurae"
"695","Allium cepa"
"696","Allium schoenoprasum"
"697","Amaranthus retroflexus"
"698","Amsinckia lycopsoides"
"699","Anemonoides quinquefolia"
"700","Anethum graveolens"
"701","Arabidopsis arenosa"
"702","Artemisia absinthium"
"703","Artemisia campestris  subsp. canadensis"
"704","Artemisia jacutica"
"705","Astragalus alpinus  subsp. alpinus"
"706","Atriplex hortensis"
"707","Atriplex prostrata"
"708","Atriplex sagittata"
"709","Avena fatua"
"710","Avena nuda"
"711","Axyris amaranthoides"
"712","Beckmannia eruciformis"
"713","Persicaria bistorta"
"714","Brassica juncea"
"715","Brassica napus"
"716","Brassica oleracea"
"717","Brassica rapa"
"718","Bromus hordeaceus"
"719","Buglossoides arvensis"
"720","Bunias orientalis"
"721","Camelina microcarpa"
"722","Camelina sativa"
"723","Campanula rotundifolia"
"724","Cannabis sativa"
"725","Cenolophium denudatum"
"726","Centaurea cyanus"
"727","Centaurea triumfettii var. alba"
"728","Ranunculus testiculatus"
"729","Chenopodium capitatum"
"730","Chenopodium suecicum"
"731","Chorispora tenella"
"732","Conringia orientalis"
"733","Delphinium consolida"
"734","Convolvulus arvensis"
"735","Descurainia incana"
"736","Draba verna"
"737","Dracocephalum parviflorum"
"738","Echinochloa crus-galli"
"739","Erodium cicutarium"
"740","Erysimum incanum"
"741","Erythranthe guttata"
"742","Fagopyrum esculentum"
"743","Fagopyrum tataricum"
"744","Fallopia convolvulus"
"745","Festuca rubra"
"746","Fumaria officinalis"
"747","Galeopsis ladanum  subsp. ladanum"
"748","Galium aparine"
"749","Omalotheca sylvatica"
"750","Helianthus annuus"
"751","Hesperis matronalis"
"752","Hieracium lachenalii  subsp. lachenalii"
"753","Hordeum brachyantherum"
"754","Hordeum brevisubulatum"
"755","Hordeum distichon"
"756","Iris pseudacorus"
"757","Impatiens noli-tangere"
"758","Jacobaea erucifolia"
"759","Juncus compressus"
"760","Juncus texanus"
"761","Lappula marginata"
"762","Lappula patula"
"763","Lapsana communis  subsp. alpina"
"764","Lepidium campestre"
"765","Lepidium heterophyllum"
"766","Lepidium perfoliatum"
"767","Lepidium ruderale"
"768","Lepidium sativum"
"769","Leptopyrum fumarioides"
"770","Lolium multiflorum"
