"","Species_SubSpecies"
"593","Alopecurus pratensis alpestris"
"594","Alopecurus arundinaceus "
"595","Alopecurus borealis "
"596","Alopecurus stejnegeri "
"597","Alopecurus glaucus "
"598","Alopecurus aequalis "
"599","Alopecurus geniculatus "
"600","Schizachne purpurascens "
"601","Glyceria borealis "
"602","Glyceria striata "
"603","Pleuropogon sabinei "
"604","Melica nutans "
"605","Piptatherum canadense "
"606","Piptatherum pungens "
"607","Nardus stricta "
"608","Molinia caerulea "
"609","Danthonia intermedia "
"610","Danthonia spicata "
"611","Ceratophyllum demersum "
"612","Caltha palustris palustris"
"613","Caltha palustris radicans"
"614","Caltha palustris sibirica"
"615","Caltha natans "
"616","Trollius europaeus "
"617","Trollius x apertus "
"618","Trollius asiaticus "
"619","Trollius sibiricus "
"620","Trollius membranostylis "
"621","Trollius chartosepalus "
"622","Actaea erythrocarpa "
"623","Actaea rubra "
"624","Coptis trifolia "
"625","Aquilegia brevistyla "
"626","Thalictrum alpinum "
"627","Thalictrum sparsiflorum sparsiflorum"
"628","Thalictrum sparsiflorum richardsonii"
"629","Thalictrum minus kemense"
"630","Thalictrum simplex boreale"
"631","Thalictrum flavum "
"632","Delphinium cheilanthum "
"633","Delphinium chamissonis "
"634","Delphinium brachycentrum maydellianum"
"635","Delphinium middendorffii "
"636","Delphinium glaucum "
"637","Delphinium elatum elatum"
"638","Delphinium elatum cryophilum"
"639","Delphinium ochotense "
"640","Aconitum lycoctonum septentrionale"
"641","Aconitum baicalense "
"642","Aconitum x stoerkianum "
"643","Aconitum delphinifolium var. delphinifolium "
"644","Aconitum delphinifolium var. paradoxum "
"645","Aconitum productum "
"646","Anemone canadensis "
"647","Anemone dichotoma "
"648","Anemone nemorosa "
"649","Anemone richardsonii "
"650","Anemone sylvestris sylvestris"
"651","Anemone sylvestris ochotensis"
"652","Anemone parviflora "
"653","Anemone drummondii var. lithophila "
"654","Anemone multiceps "
"655","Anemone multifida "
"656","Anemone calva "
"657","Anemone sibirica "
"658","Anemone villosissima "
"659","Pulsatilla patens multifida"
"660","Pulsatilla patens angustifolia"
"661","Pulsatilla dahurica "
"662","Clematis sibirica "
"663","Clematis ochotensis "
"664","Oxygraphis glacialis "
"665","Ranunculus glacialis glacialis"
"666","Ranunculus glacialis alaskensis"
"667","Ranunculus camissonis "
"668","Ranunculus reptans "
"669","Ranunculus sceleratus sceleratus"
"670","Ranunculus sceleratus reptabundus"
"671","Ranunculus sceleratus multifidus"
"672","Ranunculus gmelinii gmelinii"
"673","Ranunculus gmelinii purshii"
"674","Ranunculus hyperboreus hyperboreus"
"675","Ranunculus hyperboreus arnellii"
"676","Ranunculus hyperboreus tricrenatus"
"677","Ranunculus peltatus "
"678","Ranunculus aquatilis "
"679","Ranunculus confervoides "
"680","Ranunculus subrigidus "
"681","Ranunculus pygmaeus "
"682","Ranunculus sabinei "
"683","Ranunculus nivalis "
"684","Ranunculus sulphureus "
"685","Ranunculus eschscholtzii  eschscholtzii"
"686","Ranunculus punctatus "
"687","Ranunculus grayi "
"688","Ranunculus allenii "
"689","Ranunculus arcticus "
"690","Ranunculus rigescens "
"691","Ranunculus auricomus s. lat. "
"692","Ranunculus monophyllos s. lat. "
"693","Ranunculus acris "
"694","Ranunculus subborealis subborealis"
"695","Ranunculus subborealis villosus"
"696","Ranunculus subborealis pumilus"
"697","Ranunculus turneri turneri"
"698","Ranunculus turneri jacuticus"
"699","Ranunculus subcorymbosus "
"700","Ranunculus repens "
"701","Ranunculus pacificus "
"702","Cyrtorhyncha cymbalaria "
"703","Coptidium lapponicum "
"704","Coptidium x spitsbergense "
"705","Coptidium pallasii "
"706","Papaver walpolei "
"707","Papaver gorodkovii "
"708","Papaver cornwallisensis "
"709","Papaver uschakovii "
"710","Papaver calcareum "
"711","Papaver ""murrayi"" "
"712","Papaver dahlianum "
"713","Papaver alaskanum "
"714","Papaver mcconnellii "
"715","Papaver macounii "
"716","Papaver anjuicum "
"717","Papaver variegatum "
"718","Papaver keelei "
"719","Papaver paucistamineum "
"720","Papaver atrovirens "
"721","Papaver microcarpum microcarpum"
"722","Papaver microcarpum czekanowskyi"
"723","Papaver pulvinatum pulvinatum"
"724","Papaver pulvinatum tschuktschorum"
"725","Papaver angustifolium "
"726","Papaver nivale "
"727","Papaver ""lenaense"" "
"728","Papaver leucotrichum "
"729","Papaver sp. Khatanga "
"730","Papaver nudicaule insulare"
"731","Papaver croceum "
"732","Papaver labradoricum "
"733","Papaver detritophilum "
"734","Papaver schamurinii "
"735","Papaver hypsipetes "
"736","Papaver multiradiatum "
"737","Papaver chionophilum "
"738","Papaver hultenii "
"739","Papaver sp. Banks "
"740","Papaver lapponicum lapponicum"
"741","Papaver lapponicum occidentale"
"742","Papaver lapponicum jugoricum"
"743","Papaver lapponicum orientale"
"744","Papaver radicatum  radicatum"
"745","Dicentra peregrina "
"746","Corydalis arctica "
"747","Corydalis sibirica "
"748","Drosera rotundifolia "
"749","Drosera anglica "
"750","Armeria maritima "
"751","Armeria scabra "
"752","Polygonum aviculare "
"753","Polygonum boreale "
"754","Polygonum neglectum "
"755","Polygonum microspermum "
"756","Polygonum humifusum humifusum"
"757","Polygonum humifusum caurianum"
"758","Polygonum hudsonianum "
"759","Polygonum raii norvegicum"
"760","Bistorta vivipara "
"761","Bistorta elliptica "
"762","Bistorta plumosa "
"763","Persicaria amphibia amphibia"
"764","Persicaria amphibia laevimarginata"
"765","Koenigia islandica "
"766","Aconogonum alaskanum var. alaskanum "
"767","Aconogonum alaskanum var. glabrescens "
"768","Aconogonum tripterocarpum "
"769","Aconogonum ocreatum "
"770","Aconogonum ajanense "
"771","Oxyria digyna "
"772","Rumex longifolius "
"773","Rumex crispus "
"774","Rumex confertus "
"775","Rumex aquaticus "
"776","Rumex aquaticus aquaticus"
"777","Rumex aquaticus protractus"
"778","Rumex arcticus "
"779","Rumex pseudonatronatus "
"780","Rumex occidentalis "
"781","Rumex gmelinii "
"782","Rumex sibiricus "
"783","Rumex hultenii "
"784","Rumex pallidus subarcticus"
"785","Rumex maritimus "
"786","Rumex fueginus "
"787","Rumex acetosa acetosa"
"788","Rumex acetosa islandicus"
"789","Rumex acetosa lapponicus"
"790","Rumex acetosa pseudoxyria"
"791","Rumex thyrsiflorus "
"792","Rumex oblongifolius "
"793","Rumex acetosella acetosella"
"794","Rumex acetosella tenuifolius"
"795","Rumex acetosella arenicola"
"796","Rumex krausei "
"797","Rumex beringensis "
"798","Rumex aureostigmaticus "
"799","Rumex graminifolius "
"800","Rheum compactum "
"801","Stellaria media "
"802","Stellaria bungeana "
"803","Stellaria nemorum  nemorum"
"804","Stellaria crassifolia "
"805","Stellaria humifusa "
"806","Stellaria calycantha "
"807","Stellaria borealis borealis"
"808","Stellaria graminea "
"809","Stellaria palustris "
"810","Stellaria fennica "
"811","Stellaria hebecalyx "
"812","Stellaria umbellata "
"813","Stellaria longifolia "
"814","Stellaria longipes s. lat. "
"815","Stellaria alaskana "
"816","Stellaria eschscholtziana "
"817","Stellaria fischeriana "
"818","Stellaria jacutica "
"819","Cerastium cerastoides "
"820","Cerastium maximum "
"821","Cerastium davuricum "
"822","Cerastium arvense strictum"
"823","Cerastium alpinum alpinum"
"824","Cerastium alpinum var. glabrum "
"825","Cerastium alpinum ""nova"""
"826","Cerastium alpinum lanatum"
"827","Cerastium nigrescens var. laxum "
"828","Cerastium arcticum "
"829","Cerastium beeringianum "
"830","Cerastium fischerianum "
"831","Cerastium regelii "
"832","Cerastium jenisejense "
"833","Cerastium fontanum fontanum"
"834","Cerastium fontanum vulgare"
"835","Sagina saginoides "
"836","Sagina procumbens "
"837","Sagina subulata "
"838","Sagina nodosa borealis"
"839","Sagina nivalis "
"840","Sagina caespitosa "
"841","Minuartia verna  verna"
"842","Minuartia rubella "
"843","Minuartia stricta "
"844","Minuartia dawsonensis "
"845","Minuartia rossii "
"846","Minuartia elegans "
"847","Minuartia macrocarpa "
"848","Minuartia arctica "
"849","Minuartia obtusiloba "
"850","Minuartia yukonensis "
"851","Minuartia biflora "
"852","Minuartia groenlandica "
"853","Cherleria dicranoides "
"854","Honckenya peploides diffusa"
"855","Honckenya peploides major"
"856","Wilhelmsia physodes "
"857","Arenaria humifusa "
"858","Arenaria longipedunculata "
"859","Arenaria norvegica  norvegica"
"860","Arenaria pseudofrigida "
"861","Eremogone capillaris "
"862","Eremogone formosa "
"863","Eremogone polaris "
"864","Eremogone tschuktschorum "
"865","Moehringia lateriflora "
"866","Moehringia macrophylla "
"867","Spergularia salina "
"868","Spergularia canadensis "
"869","Spergularia rubra "
"870","Silene tatarica "
"871","Silene paucifolia "
"872","Silene stenophylla "
"873","Silene repens "
"874","Silene vulgaris  vulgaris"
"875","Silene uniflora  uniflora"
"876","Silene dioica "
"877","Silene samojedora "
"878","Silene villosula "
"879","Silene wahlbergella "
"880","Silene uralensis coll. "
"881","Silene uralensis uralensis"
"882","Silene uralensis arctica"
"883","Silene violascens "
"884","Silene soczavana var. macrosperma "
"885","Silene involucrata coll. "
"886","Silene involucrata involucrata"
"887","Silene involucrata tenella"
"888","Silene involucrata furcata"
"889","Silene sorensenis "
"890","Silene ostenfeldii "
"891","Silene acaulis "
"892","Viscaria alpina "
"893","Gypsophila uralensis "
"894","Gypsophila sambukii "
"895","Dianthus repens "
"896","Dianthus superbus "
"897","Chenopodium album "
"898","Chenopodium karoi "
"899","Chenopodium jenissejense "
"900","Chenopodium capitatum "
"901","Chenopodium salinum "
"902","Chenopodium rubrum "
"903","Atriplex prostrata  prostrata"
"904","Atriplex glabriuscula "
"905","Atriplex longipes praecox"
"906","Atriplex lapponica "
