"scientificName","speciesKey"
"phalaris arundinacea f. picta (l.) b.p.r.chéron, 2018",5289756
"sh1234360.09fu",5289756
"digraphis arundinacea (l.) trin.",5289756
"equisetum arvense subsp. arvense",7924597
"equisetum arvense subsp. alpestre (wahlenb.) schönsw. & elven",7924597
"equisetum arvense subsp. boreale (bong.) tolm.",7924597
"equisetum arvense var. boreale (bong.) rupr.",7924597
"equisetum boreale bong.",7924597
"equisetum arvense subsp. boreale (bong.) á.löve",7924597
"equisetum arvense var. ramulosum rupr.",7924597
"equisetum arvense subsp. boreale (bongard) ruprecht",7924597
"equisetum arvense var. agreste (klinge) brause",7924597
"myrtillus sylvaticus drejer",2882833
"vaccinium myrtillus subsp. myrtillus",2882833
"myrtillus nigra gilib.",2882833
"vaccinium oreophilum rydb.",2882833
"vaccinium myrtilloides s.watson",2882833
"vaccinium myrtillus var. leucocarpum hausm.",2882833
"vaccinium myrtillus f. leucocarpum (dumort.) busch",2882833
"myrtillus niger gilib.",2882833
"vaccinium myrtillus var. oreophilum (rydb.) dorn",2882833
"cardamine pratensis subsp. pratensis",7972010
"cardamine pratensis var. pratensis",7972010
"cardamine pratensis subsp. paludosa (knaf) čelak.",7972010
"cardamine nemorosa lej.",7972010
"cardamine pratensis subsp. picra de langhe & d'hose",7972010
"cardamine rivularis schur",7972010
"cardamine palustris (wimm. & grab.) peterm.",7972010
"cardamine pratensis subsp. palustris (wimm. & grab.) janch.",7972010
"cardamine pratensis subsp. rivularis (schur) nyman",7972010
"alliaria officinalis andrz. ex m.bieb.",5376075
"alliaria officinalis andrz.",5376075
"sisymbrium alliaria (l.) scop.",5376075
"alliaria officinalis andrzejowski ex de candolle",5376075
"alliaria alboi sennen, 1926",5376075
"sh0995936.09fu",5376075
"erysimum alliaria l.",5376075
"alliaria alliacea britten & rendle",5376075
"vicia cracca subsp. cracca",2975287
"cracca major godr. & gren.",2975287
"vicia cracca f. canescens maxim.",2975287
"vicia cracca subsp. vulgaris gaudin",2975287
"vicia cracca subsp. imbricata rouy",2975287
"vicia cracca var. canescens (maxim.) franch. & sav.",2975287
"vicia dahurica turcz.",2975287
"vicia heteropus freyn",2975287
"vicia oreophila zertova",2975287
"rumex obtusifolius subsp. obtusifolius",2889011
"rumex obtusifolius subsp. transiens (simonk.) rech.fil.",2889011
"rumex obtusifolius subsp. sylvestris (lam.) celak.",2889011
"rumex obtusifolius var. obtusifolius",2889011
"rumex obtusifolius subsp. agrestis (fr.) danser",2889011
"rumex obtusifolius var. agrestis fr.",2889011
"rumex obtusifolius var. unigranis danser",2889011
"rumex sylvestris wallr.",2889011
"rumex ×acutus l.",2889011
"argentina anserina (l.) rydb.",5367246
"argentina anserina subsp. anserina",5367246
"potentilla anserina subsp. anserina",5367246
"potentilla anserina var. anserina",5367246
"argentina anserina subsp. groenlandica (tratt.) á.löve",5367246
"potentilla egedii wormsk.",5367246
"potentilla anserina subsp. groenlandica tratt.",5367246
"argentina pacifica rydb.",5367246
"potentilla anserina subsp. pacifica (howell) rousi",5367246
"hypochaeris radicata subsp. radicata",3093702
"hypochaeris radicata subsp. ericetorum soest",3093702
"hypochaeris platylepis boiss.",3093702
"achyrophorus radicatus (l.) scop.",3093702
"hypochaeris radiata falk",3093702
"hypochaeris radicata f. radicata",3093702
"hypochaeris radicata f. hispida (peterm.) vollm.",3093702
"hypochaeris radicata var. hispida peterm.",3093702
"hieracium radicatum (l.) e.h.l.krause",3093702
"poa pratensis subsp. pratensis",2704178
"poa pratensis all., 1785",2704178
"poa pratensis subsp. agassizensis (b.boivin & d.löve) roy l.taylor & macbryde",2704178
"poa sergievskajae prob.",2704178
"poa pratensis var. anceps gaudin",2704178
"poa pratensis subsp. jordanii portal",2704178
"paneion pratense (l.) lunell",2704178
"poa angustifolia subsp. pratensis (l.) k.richt.",2704178
"poa compressoformis rouy",2704178
"lathyrus pratensis subsp. pratensis",5356701
"sh0996708.09fu",5356701
"lathyrus pratensis var. pratensis",5356701
"lathyrus pratensis var. montanus lecoq & lamotte",5356701
"lathyrus pratensis subsp. lusseri (heer ex w.d.j.koch) soják",5356701
"lathyrus pratensis var. grandiflorus bogenh.",5356701
"orobus pratensis (l.) stokes",5356701
"lathyrus pratensis var. velutinus dc.",5356701
"lathyrus sepium scop.",5356701
"sh1017202.09fu",3040249
"populus davidiana dode",3040249
"populus tremula f. villosa",3040249
"populus australis ten.",3040249
"populus davidiana f. pendula (a.k.skvortsov) z.wang & s.l.tung",3040249
"populus jezoensis nakai",3040249
"populus tremula f. sallensis hämet-ahti",3040249
"populus tremula var. davidiana (dode) c.k.schneid.",3040249
"populus tremula var. villosa (láng ex rchb.) peterm.",3040249
"chamerion angustifolium (l.) holub",6428353
"epilobium angustifolium l.",6428353
