"Species_SubSpecies"
"Myriophyllum verticillatum"
"Myriophyllum sibiricum"
"Ribes spicatum lapponicum"
"Ribes spicatum hispidulum"
"Ribes triste"
"Ribes nigrum"
"Ribes dikuscha"
"Ribes glandulosum"
"Ribes hudsonianum"
"Ribes oxyacanthoides"
"Ribes lacustre"
"Boykinia richardsonii"
"Heuchera glabra"
"Mitella nuda"
"Chrysosplenium rimosum"
"Chrysosplenium wrightii"
"Chrysosplenium alternifolium sibiricum"
"Chrysosplenium alternifolium arctomontanum"
"Chrysosplenium tetrandrum"
"Chrysosplenium rosendahlii"
"Saxifraga spicata"
"Saxifraga eschscholtzii"
"Saxifraga serpyllifolia serpyllifolia"
"Saxifraga serpyllifolia glutinosa"
"Saxifraga hirculus"
"Saxifraga setigera"
"Saxifraga platysepala"
"Saxifraga oppositifolia oppositifolia"
"Saxifraga oppositifolia smalliana"
"Saxifraga aizoides"
"Saxifraga nathorstii"
"Saxifraga paniculata"
"Saxifraga tricuspidata"
"Saxifraga bronchialis"
"Saxifraga stellerana"
"Saxifraga balandinii"
"Saxifraga caulescens"
"Saxifraga omolojensis"
"Saxifraga anadyrensis"
"Saxifraga spinulosa"
"Saxifraga funstonii"
"Saxifraga codyana"
"Saxifraga cherlerioides"
"Saxifraga cespitosa cespitosa"
"Saxifraga cespitosa monticola"
"Saxifraga rosacea"
"Saxifraga hypnoides"
"Saxifraga bracteata"
"Saxifraga hyperborea"
"Saxifraga rivularis rivularis"
"Saxifraga rivularis arctolitoralis"
"Saxifraga radiata"
"Saxifraga cernua"
"Saxifraga svalbardensis"
"Micranthes merkii  merkii"
"Micranthes stellaris  stellaris"
"Micranthes redofskyi"
"Micranthes foliolosa"
"Micranthes nudicaulis  nudicaulis"
"Micranthes punctata"
"Micranthes davurica"
"Micranthes reflexa"
"Micranthes nelsoniana nelsoniana"
"Micranthes nelsoniana aestivalis"
"Micranthes nelsoniana insularis"
"Micranthes porsildiana"
"Micranthes lyallii hultenii"
"Micranthes razshivinii"
"Micranthes calycina"
"Micranthes unalaschensis"
"Micranthes tenuis"
"Micranthes nivalis"
"Micranthes hieraciifolia hieraciifolia"
"Micranthes hieraciifolia longifolia"
"Geranium sylvaticum  sylvaticum"
"Geranium krylovii"
"Geranium pratense"
"Geranium erianthum"
"Epilobium palustre"
"Epilobium davuricum"
"Epilobium arcticum"
"Epilobium alsinifolium"
"Epilobium hornemannii hornemannii"
"Epilobium hornemannii behringianum"
"Epilobium lactiflorum"
"Epilobium anagallidifolium"
"Epilobium ciliatum ciliatum"
"Epilobium ciliatum glandulosum"
"Epilobium montanum"
"Epilobium collinum"
"Chamerion angustifolium angustifolium"
"Chamerion angustifolium circumvagum"
"Chamerion latifolium"
"Parnassia palustris"
"Parnassia kotzebuei"
"Linum catharticum"
"Linum boreale"
"Linum taymirense"
"Linum komarovii"
"Linum lewisii lewisii"
