"x"
"Dactyloctenium aegyptium"
"Senecio madagascariensis"
"Bromus madritensis"
"Prunus mahaleb"
"Vinca major"
"Ammi majus"
"Erodium malacoides"
"Euphorbia marginata"
"Silybum marianum"
"Cakile maritima"
"Lobularia maritima"
"Polygonum maritimum"
"Briza maxima"
"Tordylium maximum"
"Panicum maximum"
"Centaurea melitensis"
"Melilotus siculus"
"Viola japonica"
"Atriplex micrantha"
"Camelina microcarpa"
"Salvia microphylla"
"Lysimachia minima"
"Medicago minima"
"Briza minor"
"Eragrostis minor"
"Phalaris minor"
"Arctium minus"
"Cladanthus mixtus"
"Geranium molle"
"Oenothera anomala"
"Opuntia monacantha"
"Genista monspessulana"
"Cucurbita moschata"
"Erodium moschatum"
"Lolium multiflorum"
"Diplotaxis muralis"
"Ranunculus muricatus"
"Hordeum murinum"
"Coleostephus myconis"
"Alopecurus myosuroides"
"Vulpia myuros"
"Petrorhagia nanteuilii"
"Agrostis nebulosa"
"Ballota nigra  subsp. foetida"
"Brassica nigra"
"Centaurea nigrescens"
"Apium nodiflorum"
"Torilis nodosa"
"Carduus nutans  subsp. leiophyllus"
"Rumex obtusifolius"
"Delairea odorata"
"Viola odorata"
"Sisymbrium officinale"
"Symphytum officinale"
"Anchusa officinalis"
"Borago officinalis"
"Calendula officinalis"
"Fumaria officinalis"
"Melissa officinalis"
"Parietaria officinalis"
"Salvia officinalis"
"Saponaria officinalis"
"Galega officinalis"
"Asplenium ceterach"
"Sisymbrium orientale"
"Persicaria orientalis"
"Lagurus ovatus"
"Urochloa panicoides"
"Neslia paniculata"
"Tanacetum parthenium"
"Fumaria parviflora"
"Atriplex patula"
"Silene pendula"
"Thymophylla pentachaeta  var. belenidium"
"Euphorbia peplus"
"Sarcocornia perennis"
"Hypericum perforatum"
"Helianthus petiolaris"
"Gastridium phleoides"
"Urospermum picroides"
"Mentha x piperita"
"Echium plantagineum"
"Euphorbia platyphyllos"
"Tragopogon porrifolius"
"Festuca pratensis"
"Tragopogon pratensis"
"Solanum pseudocapsicum"
"Centaurium pulchellum"
"Rumex pulcher"
"Mentha pulegium"
"Frankenia pulverulenta"
"Dysphania pumilio"
"Geranium purpureum"
"Geranium pusillum"
"Hordeum pusillum"
"Carduus pycnocephalus"
"Ipomoea quamoclit"
"Bromus racemosus"
"Hypochaeris radicata"
"Raphanus raphanistrum"
"Rhaponticum repens"
"Ranunculus repens  var. flore-pleno"
"Trifolium resupinatum"
"Hedypnois rhagadioloides"
"Catapodium rigidum"
"Lolium rigidum"
"Atriplex rosea"
"Mentha longifolia"
"Geranium rotundifolium"
"Bromus rubens"
"Oryza rufipogon"
"Rapistrum rugosum"
"Lactuca saligna"
"Avena sativa"
"Camelina sativa"
"Lactuca sativa"
"Pastinaca sativa"
"Dipsacus sativus"
"Leontodon saxatilis"
"Humulus scandens"
"Cytisus scoparius"
"Medicago scutellata"
"Centaurea cyanus"
"Atriplex semibaccata"
"Arenaria serpyllifolia"
"Croton serpyllifolius"
"Lactuca serriola"
"Crepis setosa"
"Leonurus sibiricus"
"Salsola soda"
"Centaurea solstitialis"
"Euphorbia spathulata"
"Avena sterilis"
"Atriplex suberecta"
"Trifolium subterraneum"
"Eragrostis superba"
"Atriplex tatarica"
"Lolium temulentum"
"Sonchus tenerrimus"
"Carduus tenuiflorus"
"Diplotaxis tenuifolia"
"Bupleurum tenuissimum"
"Tribulus terrestris"
"Polycarpon tetraphyllum"
"Gleditsia triacanthos"
"Ipomoea tricolor"
"Viola tricolor"
"Eleusine tristachya"
"Bellardia trixago"
"Medicago truncatula"
"Holosteum umbellatum"
"Coronilla varia"
"Salvia verbenaca"
"Suaeda vermiculata"
"Myosotis verna"
"Setaria verticillata"
"Eruca vesicaria"
"Setaria viridis"
"Visnaga daucoides"
"Cirsium vulgare"
"Hordeum vulgare"
"Marrubium vulgare"
"Beta vulgaris"
"Neonotonia wightii"
"Cynoglossum amabile"
"Enneapogon desvauxii"
"Euphorbia hyssopifolia"
"Cortaderia jubata"
"Citrullus lanatus"
"Digitaria ternata"
